Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
"<td>29 January 2020,<br/>14:07<sup class=""reference"" id=""cite_ref-513""><a href=""#cite_note-513"">[501]</a></sup>
</td>",29 January 2020,14:07,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>17 February 2020,<br/>15:05<sup class=""reference"" id=""cite_ref-515""><a href=""#cite_note-515"">[503]</a></sup>
</td>",17 February 2020,15:05,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Failure
"<td>7 March 2020,<br/>04:50<sup class=""reference"" id=""cite_ref-518""><a href=""#cite_note-518"">[506]</a></sup>
</td>",7 March 2020,04:50,F9 B5,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",Success
"<td>18 March 2020,<br/>12:16<sup class=""reference"" id=""cite_ref-522""><a href=""#cite_note-522"">[510]</a></sup>
</td>",18 March 2020,12:16,F9 B5,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Failure
"<td>22 April 2020,<br/>19:30<sup class=""reference"" id=""cite_ref-526""><a href=""#cite_note-526"">[514]</a></sup>
</td>",22 April 2020,19:30,F9 B5,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>30 May 2020,<br/>19:22<sup class=""reference"" id=""cite_ref-529""><a href=""#cite_note-529"">[517]</a></sup>
</td>",30 May 2020,19:22,F9 B5,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",Success
"<td>4 June 2020,<br/>01:25<sup class=""reference"" id=""cite_ref-:16_533-0""><a href=""#cite_note-:16-533"">[521]</a></sup>
</td>",4 June 2020,01:25,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>13 June 2020,<br/>09:21<sup class=""reference"" id=""cite_ref-:17_535-0""><a href=""#cite_note-:17-535"">[523]</a></sup>
</td>",13 June 2020,09:21,F9 B5,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",Success
"<td>30 June 2020,<br/>20:10:46<sup class=""reference"" id=""cite_ref-541""><a href=""#cite_note-541"">[529]</a></sup>
</td>",30 June 2020,20:10:46,F9 B5,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",Success
"<td>20 July 2020,<br/>21:30<sup class=""reference"" id=""cite_ref-SFN20200720_555-0""><a href=""#cite_note-SFN20200720-555"">[543]</a></sup>
</td>",20 July 2020,21:30,F9 B5B1058.2,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",Success
"<td>7 August 2020,<br/>05:12<sup class=""reference"" id=""cite_ref-561""><a href=""#cite_note-561"">[549]</a></sup>
</td>",7 August 2020,05:12,F9 B5,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",Success
"<td>18 August 2020 <br/>14:31<sup class=""reference"" id=""cite_ref-565""><a href=""#cite_note-565"">[553]</a></sup>
</td>",18 August 2020,14:31,F9 B5B1049.6,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",Success
"<td>30 August 2020<br/>23:18<sup class=""reference"" id=""cite_ref-567""><a href=""#cite_note-567"">[555]</a></sup>
</td>",30 August 2020,23:18,F9 B5,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",Success
"<td>3 September 2020<br/>12:46:14<sup class=""reference"" id=""cite_ref-sfn-20200903_574-0""><a href=""#cite_note-sfn-20200903-574"">[562]</a></sup>
</td>",3 September 2020,12:46:14,F9 B5B1060.2,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>6 October 2020<br/>11:29:34<sup class=""reference"" id=""cite_ref-576""><a href=""#cite_note-576"">[564]</a></sup>
</td>",6 October 2020,11:29:34,F9 B5B1058.3,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>18 October 2020<br/>12:25:57<sup class=""reference"" id=""cite_ref-579""><a href=""#cite_note-579"">[567]</a></sup>
</td>",18 October 2020,12:25:57,F9 B5B1051.6,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>24 October 2020<br/>15:31:34<sup class=""reference"" id=""cite_ref-582""><a href=""#cite_note-582"">[570]</a></sup>
</td>",24 October 2020,15:31:34,F9 B5,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>5 November 2020<br/>23:24:23<sup class=""reference"" id=""cite_ref-584""><a href=""#cite_note-584"">[572]</a></sup>
</td>",5 November 2020,23:24:23,F9 B5,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",Success
"<td>16 November 2020<br/>00:27<sup class=""reference"" id=""cite_ref-593""><a href=""#cite_note-593"">[581]</a></sup>
</td>",16 November 2020,00:27,F9 B5,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",Success
"<td>21 November 2020<br/>17:17:08<sup class=""reference"" id=""cite_ref-599""><a href=""#cite_note-599"">[587]</a></sup>
</td>",21 November 2020,17:17:08,F9 B5,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",Success
"<td>25 November 2020<br/>02:13<sup class=""reference"" id=""cite_ref-SFN20201122_601-0""><a href=""#cite_note-SFN20201122-601"">[589]</a></sup>
</td>",25 November 2020,02:13,F9 B5 ♺,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
"<td>6 December 2020<br/>16:17:08<sup class=""reference"" id=""cite_ref-603""><a href=""#cite_note-603"">[591]</a></sup>
</td>",6 December 2020,16:17:08,F9 B5 ♺,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",Success
"<td>13 December 2020<br/>17:30:00<sup class=""reference"" id=""cite_ref-608""><a href=""#cite_note-608"">[596]</a></sup>
</td>",13 December 2020,17:30:00,F9 B5 ♺,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",Success
"<td>19 December 2020<br/>14:00:00<sup class=""reference"" id=""cite_ref-SFN20201217_614-0""><a href=""#cite_note-SFN20201217-614"">[602]</a></sup>
</td>",19 December 2020,14:00:00,F9 B5 ♺,KSC,NROL-108,C,LEO,NRO,"Success
",Success
"<td>8 January 2021<br/>02:15<sup class=""reference"" id=""cite_ref-616""><a href=""#cite_note-616"">[604]</a></sup>
</td>",8 January 2021,02:15,F9 B5,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",Success
"<td>20 January 2021<br/>13:02<sup class=""reference"" id=""cite_ref-620""><a href=""#cite_note-620"">[608]</a></sup>
</td>",20 January 2021,13:02,F9 B5B1051.8,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",Success
